30,30,14,9,1,1,n,n
31,29,14,14,5,1,n,d
32,28,9,11,1,1,n,n
31,29,12,6,1,1,n,n
32,28,5,7,1,1,n,n
31,29,10,14,5,1,n,c
26,34,14,7,1,1,n,n
27,33,14,9,1,1,n,n
28,32,11,2,5,1,n,c
33,27,8,2,5,1,n,c
38,22,4,10,1,2,c,n
36,24,14,2,5,1,n,d
37,23,14,2,5,1,n,d
38,22,9,5,1,1,n,n
39,21,6,7,1,1,n,n
38,22,3,5,1,2,d,n
37,23,4,11,1,2,d,n
36,24,3,9,1,2,d,n
35,25,2,12,1,2,d,n
34,26,14,14,5,1,n,d
35,25,4,2,5,2,n,c
40,20,8,3,1,1,n,n
41,19,5,5,1,1,n,n
41,19,5,13,1,1,n,n
40,20,9,2,5,1,n,d
41,19,6,5,1,1,n,n
42,18,3,13,1,2,d,n
41,19,14,6,1,1,n,n
42,18,5,8,1,1,n,n
41,19,4,5,1,2,d,n
40,20,2,13,1,2,d,n
39,21,13,9,1,1,n,n
40,20,8,14,5,1,n,d
41,19,6,8,1,1,n,n
40,20,6,11,1,1,n,n
39,21,5,8,1,1,n,n
38,22,11,12,1,1,n,n
37,23,12,9,1,1,n,n
38,22,13,9,1,1,n,n
39,21,10,8,1,1,n,n
40,20,5,3,1,1,n,n
41,19,7,8,1,1,n,n
40,20,14,10,1,1,n,n
41,19,13,14,5,1,n,d
42,18,5,2,5,1,n,d
43,17,4,4,1,2,d,n
42,18,8,9,1,1,n,n
41,19,13,13,1,1,n,n
41,19,9,6,1,1,n,n
42,18,7,6,1,1,n,n
43,17,9,10,1,1,n,n
42,18,3,14,5,2,n,c
37,23,2,4,1,2,d,n
36,24,8,6,1,1,n,n
37,23,8,2,5,1,n,d
38,22,10,8,1,1,n,n
39,21,7,3,1,1,n,n
40,20,8,8,1,1,n,n
40,20,14,13,1,1,n,n
41,19,10,14,5,1,n,d
42,18,9,6,1,1,n,n
43,17,6,11,1,1,n,n
42,18,3,11,1,2,d,n
41,19,2,14,1,2,d,n
40,20,7,9,1,1,n,n
39,21,10,8,1,1,n,n
40,20,9,7,1,1,n,n
41,19,14,10,1,1,n,n
42,18,11,11,1,1,n,n
42,18,2,12,1,2,d,n
41,19,5,11,1,1,n,n
40,20,2,2,5,2,n,c
40,20,14,14,1,1,n,n
40,20,8,13,1,1,n,n
39,21,7,11,1,1,n,n
38,22,3,5,1,2,d,n
37,23,10,11,1,1,n,n
36,24,2,11,1,2,d,n
35,25,14,3,1,1,n,n
36,24,5,3,1,1,n,n
37,23,13,9,1,1,n,n
38,22,9,13,1,1,n,n
37,23,7,7,1,1,n,n
37,23,6,8,1,1,n,n
36,24,14,13,1,1,n,n
37,23,13,3,1,1,n,n
38,22,9,9,1,1,n,n
38,22,5,8,1,1,n,n
37,23,7,3,1,1,n,n
38,22,9,14,5,1,n,d
39,21,4,14,5,2,n,c
34,26,14,14,5,1,n,d
