30,30,7,9,1,1,n,n
29,31,10,4,1,1,n,n
30,30,13,4,1,1,n,n
31,29,12,7,1,1,n,n
32,28,3,2,5,2,n,c
37,23,6,5,1,1,n,n
38,22,13,10,1,1,n,n
39,21,13,13,1,1,n,n
39,21,9,3,1,1,n,n
40,20,11,3,1,1,n,n
41,19,8,2,5,1,n,d
42,18,9,5,1,1,n,n
43,17,9,7,1,1,n,n
44,16,12,5,1,1,n,n
45,15,7,3,1,1,n,n
46,14,3,4,1,2,d,n
45,15,4,12,1,2,d,n
44,16,11,7,1,1,n,n
45,15,14,9,1,1,n,n
46,14,13,10,1,1,n,n
47,13,6,3,1,1,n,n
48,12,11,11,1,1,n,n
48,12,12,10,1,1,n,n
49,11,10,4,1,1,n,n
50,10,7,7,1,1,n,n
50,10,13,10,1,1,n,n
51,9,5,10,1,1,n,n
50,10,6,10,1,1,n,n
49,11,11,8,1,1,n,n
50,10,12,6,1,1,n,n
51,9,14,14,1,1,n,n
51,9,9,14,5,1,n,d
52,8,11,11,1,1,n,n
52,8,11,14,5,1,n,d
53,7,3,2,5,2,n,c
58,2,4,6,1,2,d,n
57,3,6,14,1,1,n,n
56,4,6,3,1,1,n,n
57,3,13,10,1,1,n,n
58,2,4,5,1,2,d,n
57,3,13,2,3,1,n,d
58,2,13,12,1,1,n,n
59,1,14,4,1,1,n,n
